Id,Label,Modularity Class
126120367092,,15
217709814910545,,15
118121974906087,,15
72234657305,,15
29385622792,,15
253744891315222,,15
117291251702,,4
210200745712,,592
54885376941,,592
113430362040,,592
566080800118649,,592
181152466340,,592
128259900521436,,592
111933198826503,,592
373303406806,,592
109886462363571,,592
9588500527,,592
199647076824,,592
137878916179,,592
270262795393,,592
51217564556,,592
69913107493,,592
188293271191201,,592
124714883965,,592
94418090418,,592
24005897223,,592
295630334336,,592
100881283309984,,592
195991440113,,592
267881748208,,592
152079674754,,592
113308422036733,,193
42772483388,,193
142849636046,,193
145932486683,,193
168049486544768,,142
118839478171924,,142
439627782787214,,142
287041040187,,142
275560669273849,,142
104461279417,,142
189911737868335,,15
290849834376518,,142
502145736482789,,142
188980077899040,,142
444611612318393,,142
124344740951625,,142
352768869390,,15
299287313434700,,142
358563601567,,142
110544882430617,,142
123496746909,,142
305157079593937,,142
62744719767,,142
209375542458364,,142
150318114978250,,142
112780898759687,,142
190917516789,,142
144888189021390,,142
105800986120788,,142
232192473600605,,142
353292014758168,,142
275089350875,,142
169680816410281,,142
117468258271307,,142
106276149417106,,142
104094236292935,,142
105916566143389,,142
131155160264770,,142
190735127725721,,142
115699805116818,,142
118262394879210,,142
138508776267983,,142
315875231802485,,142
292433590767728,,142
343857692839,,142
148595115212850,,142
256290387740009,,142
149964841017,,142
165635680136039,,142
157111507689182,,142
182296802782,,142
123723697641587,,142
130609226981407,,142
90056960765,,142
266858106715684,,142
145323975501474,,142
116920394155,,142
180965861983122,,633
311458255617412,,402
89772543656,,142
272383482891958,,142
210909525644998,,142
338722822091,,142
109776782381734,,142
253349134732302,,142
78892690210,,142
155421251188843,,142
216868461689442,,565
112446718795213,,142
162434492207,,142
119314664772952,,142
114429275269242,,142
193599977356878,,142
292962697402225,,142
558445494169311,,142
332009106915693,,142
157127551002785,,142
220952818033895,,142
148070515232165,,142
389042664483337,,142
324159066124,,142
530238607000030,,142
177324898965622,,142
122360454457937,,142
265714783453716,,142
386021454762739,,142
336143389805469,,142
257709174309914,,142
217781588236853,,142
145224485895,,142
62133294558,,142
231877356854874,,142
251959874881937,,142
379180348867234,,142
29696049254,,142
121237247921625,,142
436549486378024,,142
86851719078,,142
121917271838,,142
98898341919,,142
101407619912391,,142
111153138907302,,402
257892234298540,,142
